Filename,Run Count,Last Run Date
"C:\Users\m.talebi\AppData\Local\LINQPad\6.5.5\EF\LINQPad.Drivers.EFCore.dll",1,132357383163984669
"C:\Users\m.talebi\AppData\Local\Temp\LINQPad6",1,132357383053677651
"C:\Users\m.talebi\AppData\Local\LINQPad Machine Learning",1,132357378635763862
